Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SAN,Banco Santander S.A. Sponsored ADR (Spain),$3.47,-0.05,-1.42%,60074467718.00,Spain,,6735600,Finance,Commercial Banks
SC,Santander Consumer USA Holdings Inc. Common Stock,$26.76,-0.71,-2.585%,8190459211.00,,2014,2089738,Finance,Finance: Consumer Services
SCHW,Charles Schwab Corporation (The) Common Stock,$66.05,-0.02,-0.03%,124328798281.00,United States,,10669882,Finance,Investment Bankers/Brokers/Service
SF,Stifel Financial Corporation Common Stock,$64.89,-1.79,-2.684%,6811741901.00,United States,,1684284,Finance,Investment Bankers/Brokers/Service
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,$31.10,-0.07,-0.225%,16066246129.00,South Korea,,281974,Finance,Major Banks
SI,Silvergate Capital Corporation Class A Common Stock,$160.36,14.18,9.70%,3767432573.00,United States,2019,3632697,Finance,Major Banks
SLF,Sun Life Financial Inc. Common Stock,$51.73,0.63,1.233%,30272417364.00,Canada,,512641,Finance,Life Insurance
SLQT,SelectQuote Inc. Common Stock,$29.49,0.51,1.76%,4809810831.00,,2020,12888080,Finance,Specialty Insurers
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$7.88,0.12,1.546%,53994985261.00,Japan,,2167597,Finance,Commercial Banks
SNV,Synovus Financial Corp. Common Stock,$47.87,-0.63,-1.299%,7115611401.00,United States,,3812280,Finance,Major Banks
SPGI,S&P Global Inc. Common Stock,$347.37,-1.09,-0.313%,83611959000.00,United States,,2316958,Finance,Finance: Consumer Services
STL,Sterling Bancorp,$24.80,-0.32,-1.274%,4797836049.00,United States,,7848408,Finance,Major Banks
STT,State Street Corporation Common Stock,$84.16,-1.09,-1.279%,29606339805.00,United States,,5457022,Finance,Major Banks
SYF,Synchrony Financial Common Stock,$40.97,-0.29,-0.703%,23921637551.00,United States,2014,9836014,Finance,Finance: Consumer Services
TD,Toronto Dominion Bank (The) Common Stock,$65.82,-0.49,-0.739%,119691414809.00,Canada,,1890840,Finance,Commercial Banks
TFC,Truist Financial Corporation Common Stock,$58.54,-0.79,-1.332%,78704281079.00,United States,,14523644,Finance,Major Banks
THG,Hanover Insurance Group Inc,$131.36,-1.76,-1.322%,4779847419.00,United States,,735334,Finance,Property-Casualty Insurers
TRNO,Terreno Realty Corporation Common Stock,$57.14,-1.22,-2.09%,3922484437.00,United States,2010,856756,Finance,Real Estate
TRU,TransUnion Common Stock,$87.53,0.17,0.195%,16691971000.00,United States,2015,1490487,Finance,Finance: Consumer Services
TRV,The Travelers Companies Inc. Common Stock,$149.30,-7.53,-4.801%,37655603202.00,United States,,4098941,Finance,Property-Casualty Insurers
UBS,UBS Group AG Registered Ordinary Shares,$16.03,0.01,0.062%,54420984268.00,Switzerland,2014,4903024,Finance,Major Banks
UE,Urban Edge Properties Common Shares of Beneficial Interest,$17.13,-0.54,-3.056%,2004535693.00,United States,2015,1773724,Finance,Real Estate
UNM,Unum Group Common Stock,$27.89,-0.58,-2.037%,5682064814.00,United States,,8107234,Finance,Accident &Health Insurance
USB,U.S. Bancorp Common Stock,$55.21,-1.06,-1.884%,82957108552.00,United States,,28075565,Finance,Major Banks
UWMC,UWM Holdings Corporation Class A Common Stock,$8.86,-0.12,-1.336%,14221841569.00,United States,,14024265,Finance,Finance: Consumer Services
VAC,Marriott Vacations Worldwide Corporation Common Stock,$178.07,-4.04,-2.218%,7336035620.00,United States,,791482,Finance,Real Estate
VOYA,Voya Financial Inc. Common Stock,$63.86,-0.37,-0.576%,7905756628.00,United States,2013,1824104,Finance,Life Insurance
WAL,Western Alliance Bancorporation Common Stock (DE),$99.65,0.95,0.963%,10074326214.00,United States,2005,2033303,Finance,Major Banks
WBK,Westpac Banking Corporation Common Stock,$18.90,0.02,0.106%,68235943860.00,Australia,,69164,Finance,Commercial Banks
WBS,Webster Financial Corporation Common Stock,$60.09,-0.66,-1.086%,5425515104.00,United States,,1821307,Finance,Major Banks
WD,Walker & Dunlop Inc Common Stock,$102.46,-5.50,-5.094%,3231331328.00,United States,2010,518418,Finance,Finance: Consumer Services
WF,Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock),$27.06,0.45,1.691%,6514854492.00,South Korea,,22364,Finance,Commercial Banks
WFC,Wells Fargo & Company Common Stock,$39.63,-1.18,-2.891%,163836142374.00,United States,,60273773,Finance,Major Banks
WRB,W.R. Berkley Corporation Common Stock,$74.12,-2.25,-2.946%,13146061656.00,United States,,2161363,Finance,Property-Casualty Insurers
WTM,White Mountains Insurance Group Ltd. Common Stock,$1177.03,1.52,0.129%,3643883608.00,United States,,36900,Finance,Property-Casualty Insurers
Y,Alleghany Corporation Common Stock,$633.11,-12.28,-1.903%,8845584367.00,United States,,156335,Finance,Property-Casualty Insurers
